timestamp,133,130,128,132,131,129,126,134,127,125,145,144,143,142,141,140,139,138,137,136,135
104400,777533.0,5501242.0,1614237.0,1063653.0,1097281.0,1985172.0,1730380.0,1432646.0,,1568604.0,4766860.0,2090045.0,877339.0,751639.0,1136854.0,2832650.0,1153649.0,1103283.0,3812756.0,1421340.0,
106200,791530.0,5558945.0,1647514.0,1074622.0,,2006433.0,1763396.0,1459053.0,,1589694.0,4824054.0,2125709.0,890711.0,764591.0,1149726.0,2863665.0,1172404.0,1123105.0,3869968.0,1452537.0,1635212.0
108000,811079.0,5615808.0,1665957.0,1093305.0,,2023654.0,,1481500.0,,1619150.0,4881955.0,2159805.0,904772.0,777645.0,1160102.0,2877790.0,1189613.0,1137752.0,3913277.0,1476620.0,1665009.0
109800,826572.0,5675652.0,1691110.0,1115506.0,1167194.0,2034175.0,1830580.0,1508897.0,,1647995.0,4937725.0,2201500.0,920855.0,792338.0,1175630.0,2894315.0,1206510.0,1157970.0,3949754.0,1514849.0,1695514.0
111600,845610.0,5721623.0,,,1189080.0,2050038.0,1866863.0,1535286.0,,1681401.0,4991121.0,2238215.0,934946.0,804961.0,1194468.0,2920447.0,1232759.0,1179181.0,3970798.0,1550000.0,1720856.0
113400,864047.0,5774347.0,1710510.0,,1211060.0,2059136.0,1901090.0,1566310.0,,1712852.0,5028271.0,2287686.0,946402.0,820277.0,1208617.0,,1257123.0,1190842.0,,1572986.0,1750105.0
115200,878423.0,5848062.0,1761355.0,,1233375.0,2066442.0,,1598074.0,,1745429.0,5068500.0,2338720.0,961289.0,832167.0,1227605.0,2963068.0,1276225.0,1212785.0,4003040.0,1603162.0,1777838.0
117000,,5868813.0,1777083.0,,1255106.0,2079948.0,1927620.0,1615860.0,,1776980.0,,2377874.0,982415.0,845085.0,1247116.0,2975340.0,1292195.0,1229107.0,4017224.0,1630791.0,1802274.0
118800,903729.0,5928805.0,1786275.0,,1269460.0,2086805.0,1943369.0,1634442.0,,1797120.0,5115050.0,2413113.0,995883.0,860711.0,1258361.0,2994834.0,1304934.0,1243699.0,4025286.0,1655382.0,1832784.0
120600,917422.0,5946686.0,1790255.0,,1283990.0,2098699.0,1967174.0,,,1828168.0,5136118.0,2438592.0,1007833.0,871006.0,1273325.0,3015834.0,1315231.0,1258385.0,4027736.0,1669941.0,1850797.0
